,año,mes,festividad,nom_comuna,conducta,cantidad
192,2023,4,Domingo,La Concordia,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3.5
193,2023,4,Domingo,La Ciudadela,HURTO A PERSONAS,2.0
194,2023,4,Domingo,Sur Occidente,LESIONES PERSONALES,2.0
195,2023,4,Domingo,La Pedregosa,LESIONES PERSONALES,2.0
196,2023,4,Domingo,Provenza,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4.666666666666667
197,2023,4,Domingo,Sur,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.0
198,2023,4,Domingo,Cabecera del Llano,LESIONES PERSONALES,4.666666666666667
199,2023,4,Domingo,Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.75
200,2023,4,Domingo,Morrorico,VIOLENCIA INTRAFAMILIAR,2.0
201,2023,4,Domingo,Centro,VIOLENCIA INTRAFAMILIAR,5.75
202,2023,4,Domingo,Lagos del Cacique,VIOLENCIA INTRAFAMILIAR,1.0
203,2023,4,Domingo,Mutis,HURTO A ENTIDADES COMERCIALES,4.0
204,2023,4,Jueves Santo,Norte,LESIONES PERSONALES,5.0
205,2023,4,Jueves Santo,Nor Oriental,LESIONES PERSONALES,5.0
206,2023,4,Jueves Santo,San Francisco,HURTO A PERSONAS,2.0
207,2023,4,Jueves Santo,Occidental,HURTO A PERSONAS,2.0
208,2023,4,Jueves Santo,García Rovira,HURTO A PERSONAS,2.0
209,2023,4,Jueves Santo,La Concordia,HURTO A PERSONAS,1.0
210,2023,4,Jueves Santo,La Ciudadela,HURTO A PERSONAS,2.0
211,2023,4,Jueves Santo,Sur Occidente,HURTO A PERSONAS,1.0
212,2023,4,Jueves Santo,La Pedregosa,HURTO A PERSONAS,2.0
213,2023,4,Jueves Santo,Provenza,LESIONES PERSONALES,2.0
214,2023,4,Jueves Santo,Sur,LESIONES PERSONALES,2.0
215,2023,4,Jueves Santo,Cabecera del Llano,HURTO A PERSONAS,4.0
216,2023,4,Jueves Santo,Oriental,HURTO A PERSONAS,2.0
217,2023,4,Jueves Santo,Morrorico,HURTO A PERSONAS,2.0
218,2023,4,Jueves Santo,Centro,LESIONES PERSONALES,2.0
219,2023,4,Jueves Santo,Lagos del Cacique,HURTO A PERSONAS,1.0
220,2023,4,Jueves Santo,Mutis,HURTO A PERSONAS,1.0
221,2023,4,Viernes Santo,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.0
222,2023,4,Viernes Santo,Nor Oriental,HURTO A PERSONAS,2.0
223,2023,4,Viernes Santo,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.3333333333333333
224,2023,4,Viernes Santo,Occidental,HURTO A PERSONAS,1.0
225,2023,4,Viernes Santo,García Rovira,LESIONES PERSONALES,2.0
226,2023,4,Viernes Santo,La Concordia,HURTO A PERSONAS,1.0
227,2023,4,Viernes Santo,La Ciudadela,HURTO A PERSONAS,2.0
228,2023,4,Viernes Santo,Sur Occidente,HURTO A PERSONAS,1.0
229,2023,4,Viernes Santo,La Pedregosa,HURTO A PERSONAS,1.0
230,2023,4,Viernes Santo,Provenza,HURTO A RESIDENCIAS,1.0
231,2023,4,Viernes Santo,Sur,HURTO A RESIDENCIAS,1.0
232,2023,4,Viernes Santo,Cabecera del Llano,HURTO A PERSONAS,4.0
233,2023,4,Viernes Santo,Oriental,LESIONES PERSONALES,1.5
234,2023,4,Viernes Santo,Morrorico,HURTO A PERSONAS,1.0
235,2023,4,Viernes Santo,Centro,LESIONES PERSONALES,2.0
236,2023,4,Viernes Santo,Lagos del Cacique,HURTO A PERSONAS,1.0
237,2023,4,Viernes Santo,Mutis,HURTO A PERSONAS,2.0
238,2023,4,Domingo de Pascua o Resurreccion,Norte,LESIONES PERSONALES,2.0
239,2023,4,Domingo de Pascua o Resurreccion,Nor Oriental,LESIONES PERSONALES,2.0
240,2023,4,Domingo de Pascua o Resurreccion,San Francisco,LESIONES PERSONALES,2.0
241,2023,4,Domingo de Pascua o Resurreccion,Occidental,LESIONES PERSONALES,2.0
242,2023,4,Domingo de Pascua o Resurreccion,García Rovira,HURTO A PERSONAS,1.0
